IMG_1592,[0, 0, 0, 0, 0],[(43, 43, 43), (183, 183, 183), (137, 137, 137), (89, 89, 89), (224, 224, 224)]
IMG_1387,[127, 134, 139, 140, 145],[(104, 117, 122), (154, 168, 171), (202, 208, 208), (27, 35, 41), (56, 76, 85)]
IMG_1654,[34, 35, 85, 138, 221],[(27, 30, 27), (162, 148, 159), (15, 18, 19), (75, 71, 52), (44, 42, 33)]
IMG_1204,[3, 7, 9, 11, 42],[(97, 83, 79), (65, 51, 48), (26, 26, 25), (185, 172, 171), (153, 128, 119)]
IMG_1350,[14, 184, 191, 238, 243],[(125, 114, 117), (174, 170, 168), (222, 221, 224), (21, 20, 22), (71, 66, 68)]
IMG_1344,[21, 35, 42, 46, 140],[(29, 27, 25), (204, 205, 193), (151, 187, 203), (83, 82, 77), (140, 140, 129)]
IMG_1378,[39, 133, 160, 170, 174],[(63, 62, 71), (170, 169, 157), (109, 112, 123), (213, 219, 220), (27, 27, 31)]
IMG_1253,[21, 23, 24, 37, 99],[(37, 36, 29), (77, 64, 47), (151, 125, 98), (8, 11, 9), (112, 92, 68)]
IMG_1245,[14, 16, 17, 20, 26],[(84, 63, 50), (165, 154, 136), (137, 105, 75), (119, 85, 62), (40, 27, 20)]
IMG_1300,[92, 111, 120, 124, 129],[(42, 55, 53), (210, 240, 229), (136, 180, 177), (9, 15, 10), (84, 119, 121)]
IMG_1584,[77, 85, 113, 149, 152],[(28, 29, 28), (61, 70, 67), (44, 49, 43), (150, 161, 176), (88, 103, 119)]
IMG_1212,[14, 18, 27, 30, 46],[(29, 24, 20), (75, 68, 55), (130, 131, 121), (46, 43, 35), (12, 10, 9)]
IMG_1642,[8, 17, 38, 189, 212],[(110, 77, 69), (43, 36, 31), (159, 129, 159), (195, 190, 201), (182, 168, 20)]
IMG_1578,[0, 3, 4, 201, 246],[(91, 81, 80), (148, 132, 130), (229, 224, 225), (193, 181, 181), (43, 40, 44)]
IMG_1231,[147, 148, 150, 150, 151],[(129, 171, 220), (98, 136, 181), (216, 230, 242), (45, 59, 77), (184, 215, 246)]
IMG_1286,[21, 33, 42, 44, 54],[(44, 35, 26), (104, 118, 68), (253, 253, 252), (178, 168, 132), (225, 227, 192)]
IMG_1269,[14, 24, 32, 141, 142],[(247, 242, 225), (202, 189, 182), (19, 26, 30), (126, 123, 119), (59, 65, 68)]
IMG_1639,[15, 21, 24, 25, 28],[(24, 19, 16), (70, 56, 36), (136, 113, 90), (201, 198, 192), (183, 165, 138)]
IMG_1117,[0, 10, 144, 149, 197],[(17, 52, 90), (87, 42, 42), (18, 11, 22), (146, 110, 98), (18, 103, 158)]
IMG_1547,[0, 0, 21, 147, 156],[(192, 187, 187), (156, 148, 148), (227, 234, 240), (46, 52, 65), (111, 109, 107)]
